iter	Logloss
0	0.680034143
1	0.6649978073
2	0.6487286886
3	0.6371208473
4	0.6249412254
5	0.6113479049
6	0.6014693225
7	0.5912255181
8	0.58196089
9	0.5719725291
10	0.5628857083
11	0.5542001371
12	0.5463864362
13	0.5366696252
14	0.5297679901
15	0.5218882384
16	0.514510402
17	0.5065903487
18	0.4992606905
19	0.492532942
20	0.4867497197
21	0.4804412347
22	0.4751679103
23	0.4694602048
24	0.4641666412
25	0.4598993372
26	0.4549720199
27	0.4506963094
28	0.4464784905
29	0.4420357104
30	0.4380005731
31	0.4344874488
32	0.4301805849
33	0.426559095
34	0.4230534589
35	0.4195530856
36	0.4155109194
37	0.4117347576
38	0.4087664286
39	0.4054126386
40	0.4024455459
41	0.3997521224
42	0.3966600277
43	0.393923053
44	0.3911335203
45	0.3884567685
46	0.3858218016
47	0.3829792517
48	0.3805823856
49	0.3791461874
