iter	Passed	Remaining
0	0	97
1	1	90
2	2	81
3	3	74
4	3	67
5	4	64
6	4	62
7	5	60
8	5	56
9	6	54
10	6	52
11	7	51
12	7	51
13	8	51
14	8	50
15	9	49
16	9	48
17	10	47
18	11	47
19	11	46
20	12	45
21	12	44
22	13	43
23	13	43
24	14	42
25	14	41
26	15	41
27	15	41
28	16	40
29	17	40
30	18	40
31	18	39
32	18	38
33	19	37
34	19	36
35	20	35
36	20	34
37	20	33
38	21	33
39	21	32
40	21	31
41	22	31
42	24	31
43	24	31
44	25	31
45	25	30
46	26	29
47	26	29
48	26	28
49	27	27
50	27	26
51	28	25
52	28	25
53	28	24
54	29	23
55	29	23
56	29	22
57	30	21
58	30	21
59	30	20
60	31	20
61	31	19
62	32	18
63	32	18
64	32	17
65	33	17
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	35	13
73	36	12
74	36	12
75	36	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	40	8
83	41	7
84	41	7
85	41	6
86	42	6
87	42	5
88	43	5
89	43	4
90	43	4
91	44	3
92	44	3
93	44	2
94	45	2
95	45	1
96	46	1
97	46	0
98	47	0
99	47	0
